smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R
CCCCCC(C)CO,372.81999999999994,342.85858225265923,308.06887067986366,288.063239632136,273.25,0.6531,1.13435,2.52765,4.744,8.3101,-7.373951065522686,2570.793613934178
CC(C)CO,378.22000000000014,334.2979468544854,305.6295517749059,295.62886013867745,273.6,0.4753,1.2134,2.673,3.67895,7.9111,-8.123687647764367,2782.150517068094
CCC(C)(C)S,333.15,318.0714207134999,308.06887067986366,298.0661495891329,283.15,0.399,0.4835,0.5449999999999999,0.62,0.772,-4.626120782392293,1237.237115996394
CC=C(C)C,305.74,301.34975611374716,291.0597770334106,280.9649255298326,273.35,0.1903,0.1973,0.2153,0.2356,0.2529,-4.067112655594274,736.4105667435525
CCCCC(C)(C)O,407.0499999999999,389.51215990759755,356.29219385608076,325.67737455884617,305.65,0.3321,0.416,0.7625,1.6285,3.016,-7.779918397436894,2691.461548623318
CC(C)(C)O,350.20000000000005,330.6273960506819,313.15,304.14774389630935,298.15179000000006,0.6447,1.0327,2.06375,3.16035,4.4126,-10.93480277317403,3662.371506830184
CCCCC(O)C(C)C,373.52,342.85858225265923,308.06887067986366,288.063239632136,273.21,0.6108,1.2643,4.31985,12.8771,33.957,-11.42623260056572,4015.683514133585
CCCC(O)CC(C)C,373.53999999999996,342.85858225265923,308.06887067986366,288.063239632136,273.37000000000006,0.6208,1.34705,4.6634,13.04165,29.0875,-11.81615009320995,4127.701743283224
CCC(O)CCC(C)C,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.44,0.4117,0.6301,1.1485,1.7968,2.6162,-5.954714133659198,1882.410993282194
CCc1cccc(C)c1N,371.99999999999994,317.99999999999994,311.0,303.00000000000006,292.99999999999994,0.87,2.045,2.39,2.95,3.87,-5.605798123983963,2023.998100429717
CC(C)CCCCCO,373.57,342.85858225265923,308.06887067986366,288.063239632136,273.37000000000006,1.0409,2.10695,5.65285,11.98765,22.5596,-8.348383181174693,3115.251451368455
Oc1ccccc1[N+]([O-])=O,488.1500000000001,387.5724799787438,336.64331650081687,321.6430048189025,303.15530000000007,0.374,0.887,1.7855,2.3995,3.721,-4.708221342734348,1795.60003499339
COc1ccccc1[N+]([O-])=O,538.15,490.0194277262062,425.68472515856234,387.72619262506447,286.4,0.2981,0.4072,0.6837,1.0117,7.49,-4.386634834143341,1707.056379322542
Oc1cccc(O)c1[N+]([O-])=O,505.15,448.33853144513813,427.99617451232325,402.5730155774841,369.85,0.4415,0.7330000000000001,0.90925,1.2685,2.131,-5.359705982786279,2257.460521775374
Cc1ccccc1[N+]([O-])=O,494.64999999999986,433.6499999999999,373.75000000000006,303.15,273.1539,0.2944,0.4404,0.7417,1.944,3.8344,-4.313745299650452,1513.224831138624
CCCCCCCC(C)S,393.15000000000003,353.15,313.15,293.15,273.15000000000003,0.435,0.6445,1.0689,1.4817,2.2336,-4.542379551742358,1450.271883170806
CCCCCCC(C)S,373.1499999999999,342.85858225265923,312.8306642184256,288.063239632136,273.15000000000003,0.4471,0.6032,0.9222,1.25875,1.6559,-4.317331607768876,1315.129441125316
CCCC(C)S,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.17,0.2597,0.33355,0.46585,0.57995,0.701,-4.053423540246169,1011.178990712946
CCCC(C)O,386.45,367.2220732371359,340.24558607520567,314.7365057945705,298.55,0.3742,0.515,0.9325,1.969,3.39,-8.818204609474508,2982.503625903433
CCCC(C)=O,371.91999999999996,340.55908613198676,320.7777116226874,302.0308838379658,273.53400000000005,0.24,0.311,0.37005,0.4486,0.6404,-4.12312371986569,1002.66759628569
Cc1ccccn1,353.15,333.15,313.15,293.15,273.5,0.4165,0.5054,0.6296,0.8102,1.097,-4.195182458763205,1169.975031749855
CC(C)S,313.15,303.15,293.15,283.15,272.96999999999997,0.307,0.3392,0.3768,0.4217,0.4779,-4.183507851871862,940.3891777800148
CC(C)O,351.23999999999995,321.6738553355506,303.4257776174605,296.7534893516646,273.50999999999993,0.5407,1.0687,1.72925,2.1177,4.5018,-8.053855000152184,2611.74469213607
Cc1cccc(Br)c1,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.15000000000003,0.5313,0.69695,1.0188,1.3488,1.7289,-3.841998925491508,1192.969412941639
Oc1cccc(Cl)c1,333.15,318.15000000000003,313.15,303.15,293.15,3.0211,5.057,5.5556,8.8496,16.6667,-12.9852370006763,4627.190212407225
Cc1cccc(Cl)c1,432.14999999999986,398.15,368.05000000000007,313.15,283.15,0.2861,0.3606,0.4567,0.7893,1.1885,-3.969350631498633,1169.307402888294
N#Cc1cccnc1,398.15,373.1499999999999,348.15,333.15,323.15,0.665,0.861,1.177,1.463,1.731,-4.670799626827749,1685.535603133261
CCOc1cccc(N)c1,373.1499999999999,353.15,333.15,313.15,303.15,1.4981,2.2356,3.7979,7.9302,12.9232,-9.994694881179418,3797.858571033652
CCOc1cccc(C)c1,448.6499999999999,418.03656421908624,383.25,342.76429820725843,291.45,0.246,0.30435,0.4039,0.60955,1.271,-4.372617616724134,1329.005480560101
Nc1cccc(F)c1,333.15,323.15,313.15,303.15,298.15,1.25,1.48,1.75,2.2,2.475,-5.804272736987032,1998.640487696995
Cc1cccc(F)c1,333.15,323.15,313.15,303.15,293.15,0.3955,0.4537,0.481,0.534,0.608,-3.742262880042993,949.2616037042784
CCCCC(O)CC,418.25000000000006,397.22313451616964,365.50316602844634,336.56488793231404,311.55,0.3026,0.40025,0.6799999999999999,1.356,2.986,-7.913013548596222,2775.059568601769
COc1cccc(O)c1,518.35,487.73910926609267,442.6196511234052,382.8363547376664,329.2,0.3546,0.4623,0.73725,1.8265,7.587,-5.946942212120144,2510.192258647483
Cc1cccc(c1)C#N,413.1499999999999,373.1499999999999,333.15,313.15,293.15,0.399,0.564,0.873,1.16,1.653,-4.373288726219417,1419.151032015911
CC1CCCC(=O)C1,339.05,312.25,303.15,290.4549,288.15509999999995,0.857,1.2261,1.512,1.8386,1.999,-4.846850212538709,1590.636490392945
CCC(C)CC,303.15,295.62886013867745,290.6284964734216,285.6281200770173,273.15000000000003,0.292,0.31495,0.33095,0.3478,0.394,-4.100438233871552,870.2061944867058
CCCCC(C)CCO,373.62,342.85858225265923,308.06887067986366,288.063239632136,273.18999999999994,0.5235,0.8189,1.51245,2.38515,3.5613,-5.843791090100764,1933.237737211843
CC(C)C(C)O,379.94999999999993,365.8898292349726,340.8856860158312,312.07674511687475,291.35,0.4364,0.5688,0.9890000000000001,2.371,5.358,-9.039015197615262,3092.379190824667
CCCCC(C)C(C)O,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.19999999999993,0.4581,0.6982999999999999,1.2813,2.0687,3.0867,-6.166910532669316,1982.253252782672
CN1CCOC1=O,338.15000000000003,323.07263654649546,308.1499999999999,293.0647194269145,278.1499999999999,1.3661,1.6743,2.0934,2.7361,3.6766,-4.140463680742595,1504.255782270755
CCCCC(C)(O)CC,373.53999999999996,342.85858225265923,308.06887067986366,288.063239632136,273.23,0.5658,1.09265,3.24865,8.39435,19.7316,-10.22439953536318,3550.235509767356
CCCC(O)C(C)CC,373.12000000000006,342.85858225265923,308.06887067986366,288.063239632136,273.19999999999993,0.4742,0.7511,1.4942,2.5811,4.1958,-6.699029462431478,2200.973291028806
CCC(C)CC(O)CC,373.19999999999993,342.85858225265923,308.06887067986366,288.063239632136,273.18999999999994,0.4002,0.5815,0.98235,1.45605,2.0599,-5.375266410731133,1656.265319061107
CCC(C)CCC(C)O,373.5,342.85858225265923,308.06887067986366,288.063239632136,273.19999999999993,0.5221,0.8673,1.7281,2.93405,4.6551,-6.729735200499726,2247.849337718191
CCC(C)CCCCO,373.22,342.85858225265923,308.06887067986366,288.063239632136,273.32,0.8334,1.5557,3.79945,7.61895,13.7608,-7.841654551022443,2839.414167814844
Oc1cccc(c1)[N+]([O-])=O,398.15,382.14738322648174,376.1473414861092,370.1472983925435,363.15,2.017,2.714,3.0715,3.502,4.139,-6.846855331219845,2998.653134898597
Cc1cccc(c1)[N+]([O-])=O,353.15,333.15,313.15,303.15,293.15,0.9212,1.1818,1.5972,1.9066,2.3326,-4.827455471994741,1661.904618145873
CCC(O)CC,382.15000000000003,352.65,328.24999999999994,310.04999999999995,293.24999999999994,0.375,0.653,1.242,2.428,5.342,-9.781815337150089,3316.64714284786
CCC(=O)CC,371.97,340.3949099026331,315.4824960380349,295.97583731653356,273.614,0.2279,0.29565,0.3781,0.4538,0.5914,-4.106972555541812,985.3393180789078
Cc1ccc[n+]([O-])c1,398.15,373.1499999999999,348.15,323.15,318.15000000000003,1.264,1.785,2.794,5.133,5.975,-6.464811150286573,2620.805485833237
Cc1ccc(Br)cc1,373.1499999999999,353.15,333.15,313.15,303.15,0.531,0.63,0.768,0.944,1.095,-3.81826109198046,1184.79300183832
Nc1ccc(Cl)cc1,503.1499999999999,469.6068827850525,435.2499999999999,390.63400102393456,365.15420000000006,0.342,0.43205,0.5682,0.8245,1.187,-4.178006638688393,1569.332782336292
Oc1ccc(Cl)cc1,491.1499999999999,466.5823646006322,441.11975861287397,404.41539555006176,371.85,0.3868,0.479,0.6108,0.9258,1.5,-5.061995278306837,2016.148419449291
Cc1ccc(Cl)cc1,434.8500000000001,403.1392299107143,360.39812092636254,320.188176993913,293.15,0.2587,0.31425,0.4366,0.6397999999999999,0.8925,-3.933440390694534,1118.482090225608
N#Cc1ccncc1,398.15,383.1499999999999,373.1499999999999,363.15,353.15,0.598,0.694,0.77,0.86,0.977,-4.404117430510473,1546.814281164003
CCOc1ccc(C)cc1,449.1499999999999,408.1499999999999,378.15000000000003,338.15000000000003,289.9,0.2446,0.3323,0.4355,0.619,1.359,-4.406450016139507,1348.751715484823
Nc1ccc(F)cc1,333.15,323.15,313.15,303.15,293.15,1.34,1.58,1.925,2.37,3.025,-5.903486412586404,2054.797079192913
CCOc1ccc(F)cc1,333.15,323.15,313.15,303.15,293.29999999999995,0.715,0.82,0.95,1.113,1.34,-5.043326723090975,1564.640599790601
CCCC(O)CCC,419.4500000000001,390.53413744561044,359.6809295539809,329.9057491289199,291.1499999999999,0.2828,0.41135,0.7015,1.4275,5.745,-8.146769357290514,2831.672236636789
Oc1ccc(C=O)cc1,433.15,423.1499999999999,422.8499999999999,413.2499999999999,403.65,2.619,3.08,3.097,3.68,4.55,-6.954579901050259,3418.796604456136
COc1ccc(O)cc1,517.1499999999999,487.9093801229507,450.8900376981928,394.6592744998735,345.45000000000005,0.3733,0.4775,0.68745,1.5545,4.58,-5.857099822266589,2485.894691703351
Cc1ccc(N)cc1,473.15000000000003,445.8381868131867,408.7542000000001,362.72175619834707,313.05629999999996,0.289,0.3628,0.518,1.348,4.79,-6.890773775880115,2619.612712879819
Cc1ccc(cc1)C#N,413.1499999999999,382.8890056113794,342.85858225265923,318.0714207134999,303.15,0.415,0.5395,0.819,1.135,1.437,-4.281395558171828,1401.670743182563
CC1CCC(=O)CC1,363.15,325.0986104713649,307.63271855703607,296.66669845548785,288.15509999999995,0.6882,1.05125,1.34535,1.6476,1.916,-4.353092968898654,1437.175767445754
CC(C)CC(C)=O,333.15,315.63019958815136,305.6305173761115,298.15,293.15469999999993,0.365,0.44015,0.4955,0.5446500000000001,0.5878,-4.456636868802291,1148.1433721118
CCCC(C)C(O)CC,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.18,0.3745,0.5367,0.9065,1.34685,1.8985,-5.413318465129638,1643.816575165397
