SMILES,Temp,K,lnK,lnA,splits,temp_input,lnA_input,K_target,Train_order,,Temp_max,1073.1
FC(CC[Si](Cl)(Cl)C)(F)F,265.865,0.114487663,-2.16728821,-3.191194338,17,4.03625900362966,-3.6868899861136,-0.258571012270201,857,,,
FC(CC[Si](Cl)(Cl)C)(F)F,327.03,0.100830742,-2.294311994,-3.191194338,17,3.28135033483167,-3.6868899861136,-0.68388153333057,198,,,
FC(CC[Si](Cl)(Cl)C)(F)F,388.195,0.08717382,-2.439851218,-3.191194338,17,2.76433235873723,-3.6868899861136,-1.17118683352665,755,,,
FC(CC[Si](Cl)(Cl)C)(F)F,449.36,0.073516899,-2.610239978,-3.191194338,17,2.388063022966,-3.6868899861136,-1.74169520618252,1187,,,
FC(F)(F)C(=O)O,257.9,0.179725692,-1.716323524,-2.733667326,18,4.16091508336565,-2.15496387160804,1.25138263217867,1097,,,
FC(F)(F)C(=O)O,279.6625,0.170182401,-1.770884473,-2.733667326,18,3.83712510615474,-2.15496387160804,1.06869758755161,568,,,
FC(F)(F)C(=O)O,301.425,0.160639109,-1.828594989,-2.733667326,18,3.56008957452102,-2.15496387160804,0.875466927452371,643,,,
FC(F)(F)C(=O)O,323.1875,0.151095818,-1.88984109,-2.733667326,18,3.32036356604138,-2.15496387160804,0.670398157581478,70,,,
FC(F)(F)C(=O)O,344.95,0.141552526,-1.955084422,-2.733667326,18,3.11088563559936,-2.15496387160804,0.451945560321151,585,,,
P(OCC)(OCC)OCC,150,0.1318975,-2.025730173,-2.738590573,19,7.154,-2.17144825493328,0.21540418025558,935,,,
P(OCC)(OCC)OCC,219.6625,0.120657456,-2.114799693,-2.738590573,19,4.88522164684459,-2.17144825493328,-0.0828250392565482,757,,,
P(OCC)(OCC)OCC,289.325,0.109417411,-2.212585249,-2.738590573,19,3.7089777931392,-2.17144825493328,-0.410237941509073,424,,,
P(OCC)(OCC)OCC,358.9875,0.098177367,-2.32097957,-2.738590573,19,2.98924057244333,-2.17144825493328,-0.773171903108698,1167,,,
P(OCC)(OCC)OCC,428.65,0.086937323,-2.442567851,-2.738590573,19,2.5034410358101,-2.17144825493328,-1.18028286704396,75,,,
CC[Ga](CC)CC,190.85,0.159078796,-1.838355625,-2.76910436,20,5.62274037201991,-2.27361679565708,0.842785636970263,683,,,
CC[Ga](CC)CC,246.925,0.146181937,-1.922903289,-2.76910436,20,4.3458540042523,-2.27361679565708,0.559696833457079,438,,,
CC[Ga](CC)CC,303,0.132283823,-2.022805487,-2.76910436,20,3.54158415841584,-2.27361679565708,0.225196832367077,942,,,
CC[Ga](CC)CC,359.075,0.117384456,-2.142300785,-2.76910436,20,2.98851214927244,-2.27361679565708,-0.174906249561613,301,,,
CC[Ga](CC)CC,415.15,0.101483834,-2.287855767,-2.76910436,20,2.58484884981332,-2.27361679565708,-0.662264311870264,786,,,
NCCNCCNCCN,285.15,0.1937928,-1.640965732,-2.58090493,21,3.76328248290373,-1.64347340741914,1.5037012198652,92,,,
NCCNCCNCCN,350.15,0.1776728,-1.727811623,-2.58090493,21,3.06468656290161,-1.64347340741914,1.21291732105486,858,,,
NCCNCCNCCN,415.15,0.1615528,-1.822923255,-2.58090493,21,2.58484884981332,-1.64347340741914,0.894457450855892,777,,,
NCCNCCNCCN,480.15,0.1454328,-1.928041155,-2.58090493,21,2.23492658544205,-1.64347340741914,0.542493846766032,330,,,
NCCNCCNCCN,545.15,0.1293128,-2.045521004,-2.58090493,21,1.96844905071999,-1.64347340741914,0.149139041714063,67,,,
OCCOCCOCCOC,229.15,0.18863945,-1.66791776,-2.745492625,22,4.68295876063714,-2.19455822095748,1.41345842665481,1126,,,
OCCOCCOCCOC,298.6125,0.169226765,-1.776515661,-2.745492625,22,3.5936204947884,-2.19455822095748,1.04984282329369,491,,,
OCCOCCOCCOC,368.075,0.14981408,-1.898360222,-2.745492625,22,2.91543842966787,-2.19455822095748,0.64187376352074,328,,,
OCCOCCOCCOC,437.5375,0.130401395,-2.037137933,-2.745492625,22,2.45258977801903,-2.19455822095748,0.177207866172135,602,,,
