,T1,T2,T3,T4,T5
272,242.67,311.46000000000004,380.25,449.0400000000001,517.83
273,253.15,300.8625,348.575,396.2875,444.0
274,219.55,277.1625,334.775,392.3875,450.0
275,280.0,329.8625,379.725,429.5875,479.45
276,280.0,327.9125,375.825,423.73749999999995,471.65
277,220.0,284.0,348.0,412.0,476.0
278,230.0,276.865,323.73,370.59499999999997,417.46
279,230.0,276.2875,322.575,368.86249999999995,415.15
280,248.6,293.7375,338.875,384.0125,429.15
281,230.6,285.0875,339.575,394.0625,448.55
282,167.2,221.8875,276.575,331.2625,385.95
283,228.9,286.7125,344.525,402.3375,460.15
284,269.35,320.1775,371.005,421.83250000000004,472.66
285,180.6,241.73749999999998,302.875,364.0125,425.15
286,196.97,271.15250000000003,345.335,419.51750000000004,493.7
287,249.15,306.21750000000003,363.285,420.3525,477.42
288,209.55,271.275,333.0,394.725,456.45
289,190.57,256.66499999999996,322.76,388.855,454.95
290,212.95,274.2,335.45,396.7,457.95
291,175.65,225.7775,275.90500000000003,326.0325,376.16
292,128.31,186.64249999999998,244.975,303.3075,361.64
293,132.35,182.2,232.05,281.9,331.75
294,138.3,186.10750000000002,233.915,281.72249999999997,329.53
295,138.31,188.945,239.58,290.21500000000003,340.85
296,119.51,171.385,223.26,275.135,327.01
297,134.7,186.92249999999999,239.14499999999998,291.36749999999995,343.59
298,120.2,171.98250000000002,223.765,275.5475,327.33
299,138.07,188.665,239.26,289.855,340.45
300,238.0,280.9125,323.825,366.73749999999995,409.65
301,183.0,250.32999999999998,317.65999999999997,384.99,452.32
302,249.55,302.2825,355.015,407.7475,460.48
303,223.0,283.4,343.8,404.20000000000005,464.6
304,223.15,291.4375,359.725,428.0125,496.3
305,240.2,302.075,363.95,425.825,487.7
306,185.0,240.7875,296.575,352.36249999999995,408.15
307,195.42,251.015,306.61,362.20500000000004,417.8
308,199.0,260.1625,321.325,382.48749999999995,443.65
309,208.33,266.635,324.94,383.245,441.55
310,213.15,288.1625,363.175,438.18750000000006,513.2
311,203.15,255.425,307.7,359.975,412.25
312,188.0,238.5,289.0,339.5,390.0
313,225.14,282.8925,340.645,398.3975,456.15
314,220.0,277.0375,334.075,391.11249999999995,448.15
315,223.15,300.0875,377.025,453.9625,530.9
316,148.0,200.615,253.23,305.84499999999997,358.46
317,131.7,188.745,245.79,302.835,359.88
318,145.0,198.0125,251.025,304.0375,357.05
319,170.28,218.9575,267.635,316.3125,364.99
320,199.25,270.2575,341.265,412.2725,483.28
321,293.15,340.36249999999995,387.575,434.7875,482.0
322,168.0,222.5875,277.175,331.76250000000005,386.35
323,185.77,237.42000000000002,289.07,340.72,392.37
324,285.95,368.1875,450.42499999999995,532.6624999999999,614.9
325,210.0,260.2875,310.575,360.86249999999995,411.15
326,213.65,294.0375,374.425,454.81250000000006,535.2
327,247.15,311.025,374.9,438.775,502.65
328,271.0,337.95,404.9,471.84999999999997,538.8
329,182.55,215.5875,248.625,281.6625,314.7
330,224.3,283.8125,343.32500000000005,402.83750000000003,462.35
331,168.54,210.9175,253.29500000000002,295.6725,338.05
332,146.62,197.125,247.63,298.135,348.64
333,214.75,287.7025,360.655,433.6075,506.56
334,264.65,303.98749999999995,343.325,382.6625,422.0
335,245.2,299.6725,354.145,408.61749999999995,463.09
336,265.0,322.9,380.8,438.70000000000005,496.6
337,272.65,325.7625,378.875,431.9875,485.1
338,269.15,323.0625,376.975,430.8875,484.8
339,263.95,322.1125,380.275,438.4375,496.6
340,267.65,322.0875,376.525,430.9625,485.4
341,280.15,331.16249999999997,382.17499999999995,433.1875,484.2
342,192.0,230.0,268.0,306.0,344.0
343,189.0,254.4125,319.825,385.23749999999995,450.65
344,357.15,388.0875,419.025,449.9625,480.9
345,213.15,251.0625,288.975,326.88750000000005,364.8
346,168.15,213.625,259.1,304.57500000000005,350.05
347,231.3,295.7625,360.225,424.6875,489.15
348,293.35,339.3,385.25,431.2,477.15
349,291.7,336.4375,381.17499999999995,425.91249999999997,470.65
350,252.0,311.5375,371.075,430.61249999999995,490.15
351,251.0,306.2875,361.575,416.86249999999995,472.15
352,235.0,294.7875,354.575,414.36249999999995,474.15
353,208.15,241.025,273.9,306.775,339.65
354,268.65,309.275,349.9,390.525,431.15
355,223.0,274.1,325.2,376.29999999999995,427.4
356,198.55,271.025,343.5,415.975,488.45
357,212.1,247.86249999999998,283.625,319.3875,355.15
358,273.3,335.425,397.54999999999995,459.67499999999995,521.8
359,213.3,278.7625,344.225,409.6875,475.15
360,182.1,252.5125,322.925,393.3375,463.75
361,210.8,244.5825,278.365,312.14750000000004,345.93
362,183.45,213.125,242.79999999999998,272.47499999999997,302.15
363,139.39,182.46749999999997,225.545,268.6225,311.7
364,135.58,177.76000000000002,219.94,262.12,304.3
365,160.15,196.4625,232.77499999999998,269.0875,305.4
366,188.0,236.97,285.94,334.90999999999997,383.88
367,155.95,218.0,280.04999999999995,342.09999999999997,404.15
368,264.15,291.91249999999997,319.67499999999995,347.4375,375.2
369,195.0,246.7125,298.425,350.13750000000005,401.85
370,222.2,258.0625,293.92499999999995,329.78749999999997,365.65
371,159.53,198.1475,236.765,275.3825,314.0
372,209.79,253.76999999999998,297.75,341.73,385.71
373,273.65,342.525,411.4,480.275,549.15
374,265.15,322.3375,379.525,436.7125,493.9
375,276.0,346.25,416.5,486.75,557.0
376,160.17,212.29999999999998,264.43,316.56,368.69
377,195.0,252.0,309.0,366.0,423.0
378,228.15,305.15,382.15,459.15,536.15
379,218.15,274.725,331.3,387.875,444.45
380,236.2,293.6875,351.17499999999995,408.66249999999997,466.15
381,244.5,298.375,352.25,406.125,460.0
382,233.93,330.235,426.53999999999996,522.845,619.15
383,253.65,345.0625,436.47499999999997,527.8874999999999,619.3
384,171.64,218.20749999999998,264.775,311.34250000000003,357.91
385,229.6,274.4875,319.375,364.2625,409.15
386,199.7,258.3,316.9,375.5,434.1
387,181.15,246.4225,311.695,376.96750000000003,442.24
388,188.45,249.4775,310.505,371.5325,432.56
389,206.7,233.925,261.15,288.375,315.6
390,207.15,259.85,312.55,365.25,417.95
391,268.07,363.2525,458.43499999999995,553.6175,648.8
392,264.0,304.0375,344.075,384.11249999999995,424.15
393,239.9,296.945,353.99,411.03499999999997,468.08
394,281.15,359.74249999999995,438.335,516.9275,595.52
395,233.5,298.525,363.55,428.57500000000005,493.6
396,174.15,223.9,273.65,323.4,373.15
397,167.23,210.3725,253.515,296.6575,339.8
398,183.76,244.7975,305.83500000000004,366.8725,427.91
399,278.15,343.61249999999995,409.075,474.5375,540.0
400,223.95,296.675,369.4,442.125,514.85
401,255.15,325.6125,396.075,466.5375,537.0
402,260.08,314.62,369.15999999999997,423.7,478.24
403,241.03,281.515,322.0,362.485,402.97
404,190.84,236.1425,281.445,326.7475,372.05
405,175.3,230.62,285.94,341.26,396.58
406,260.75,332.5375,404.325,476.11249999999995,547.9
407,196.32,252.49,308.65999999999997,364.83,421.0
408,210.12,267.34000000000003,324.56,381.78,439.0
409,216.3,262.8875,309.475,356.0625,402.65
410,193.15,260.225,327.3,394.375,461.45
411,275.6,358.3,441.0,523.7,606.4
412,292.3,356.35,420.4,484.45,548.5
413,188.15,240.51250000000002,292.875,345.2375,397.6
414,255.0,291.4375,327.875,364.3125,400.75
415,167.5,223.125,278.75,334.375,390.0
416,225.7,271.075,316.45,361.825,407.2
417,279.95,334.375,388.79999999999995,443.22499999999997,497.65
418,231.5,270.5375,309.575,348.61249999999995,387.65
419,281.0,330.315,379.63,428.945,478.26
420,294.68,355.7975,416.91499999999996,478.03249999999997,539.15
421,281.15,303.36249999999995,325.575,347.7875,370.0
422,176.48,230.67249999999999,284.865,339.0575,393.25
423,264.0,329.5375,395.075,460.61249999999995,526.15
424,248.5,303.13,357.76,412.39,467.02
425,164.55,205.4625,246.375,287.2875,328.2
426,278.65,332.15,385.65,439.15,492.65
427,221.5,275.2,328.9,382.6,436.3
428,176.0,240.075,304.15,368.225,432.3
429,175.47,216.065,256.66,297.255,337.85
430,242.15,316.74,391.33,465.92,540.51
431,237.35,268.875,300.4,331.92499999999995,363.45
432,192.15,229.4,266.65,303.9,341.15
433,234.31,444.0075,653.7049999999999,863.4024999999999,1073.1
434,290.65,343.23749999999995,395.825,448.4125,501.0
435,256.65,315.73749999999995,374.825,433.9125,493.0
436,288.65,349.48749999999995,410.325,471.1625,532.0
437,192.62,256.5025,320.385,384.2675,448.15
