SMILES,lnA,EaR
O=CC1CCC=CC1,23.32537495,-5231.811537
CCCC=O,22.55255595,-3868.376409
CC(C)C(=O),22.40026755,-3691.407676
CCCCC=O,22.74561687,-4238.400306
CCCCCCC=O,22.81687755,-4842.898496
CCCCCC=O,22.76694454,-4546.910298
CCCCCCCC=O,23.16659428,-5233.50172
CCCCCCCCC=O,23.27320705,-5525.695328
C1(CCCCC1)C=O,22.73059124,-4868.558502
CCCCC(CC)C=O,23.63048212,-5365.377519
O=CC=O,23.33654472,-3823.897386
CCCCC(C)C=O,23.24017489,-4913.727891
CCCC(C)CC=O,23.04565643,-4837.077063
O=CC(C)=CCC,22.63576765,-4588.236547
CCCC=C(CC)C=O,23.00005688,-5187.733706
CCCCCCCCCC=O,23.58278236,-5874.871833
CCCCCCCCCCC=O,23.99859336,-6371.689434
CCCCCCCCCCCC=O,24.22529621,-6690.928356
CCCCCCCCCCCCC=O,24.43933942,-7019.518505
CCC(C)C=O,22.81927667,-4143.601069
CC(C)(C)OC(C)CO,23.24593153,-5025.34466
CCCOCCOCCO,24.52269521,-6433.079778
CCCCOCCOCCOCCO,26.30738146,-8148.941036
CCOCCOCCOCCO,26.49630243,-7921.79929
OCC1CO1,24.84789083,-5809.768498
CCCCCCOCCO,25.05631575,-6514.756762
CCCCCCOCCOCCO,26.94284266,-8279.301678
CC(O)COC(C)COCCC,25.26586292,-6659.423217
CC(O)COCCC,24.0483066,-5393.334825
CCCCOCCOCCOC(=O)C,24.52465826,-6835.69846
OCC(C)C=O,26.06579449,-6494.687867
N#CCO,26.78971213,-7270.820973
N#CCN,23.90898073,-5310.795871
c1(CC#N)ccccc1,23.52586933,-6131.079387
CCN(O)CC,25.11445138,-5548.102251
CCCCOS(=O)(=O)OCCCC,23.89042416,-6611.468626
C(COC(CCCCCCCC=C/CCCCCCCC)=O)(COC(CCCCCCCC=C/CCCCCCCC)=O)OC(CCCCCCCC=C/CCCCCCCC)=O,32.67240473,-18555.43582
CC=CCOCCO,24.5035472,-5983.933211
C=CC(C)OCCO,24.75650747,-5776.306106
O=N(=O)OCCON(=O)=O,25.64893214,-6745.276281
CCOS(=O)OCC,23.57509953,-5230.545515
N1(C)C(=S)CCC1,22.30071838,-6053.518077
CCOCC(C)OCC(C)O,25.25078221,-6462.396449
CCOCC(C)OCC(C)OCC(C)O,26.99230685,-8187.278432
CC(O)COCC,24.53798114,-5275.363445
CC(O)COC(C)COC(C)(C)(C),26.03626477,-7752.462186
COC(=O)CO,24.82508541,-5626.367247
CS(=O)(=O)Cl,23.00685256,-5034.680037
CC(C)(C)OC(=O)C(=C)C,22.94754159,-4728.642524
ClSCl,22.58077862,-3718.673152
COCC(C)OCC(C)OC(=O)C,24.35142551,-6235.633522
O1C=CCCC1(OC),22.84327114,-4562.159939
O=S(O)(O)=O,31.34853962,-10856.31635
ON(=O)=O,24.61668215,-4659.62295
O,24.2577905,-4748.140405
S=C=S,21.79717344,-3295.287169
ClS(=O)(=O)Cl,22.06395982,-3629.221635
ClS(=O)Cl,21.80823456,-3628.536839
OO,24.41343873,-5468.401852
[2H]O[2H],24.44978186,-4848.462824
O=CCCCC=O,24.41152415,-6039.13408
CCC(=O)CCCCC,23.00446335,-5103.011918
CCCC(=O)CCCC,23.12900181,-5125.836613
CCC(=O)CCCCCC,23.21643281,-5449.815159
CCCC(=O)CCCCC,23.41879245,-5542.420953
C1(=O)C=CCCC1,22.8355401,-5087.077437
CC(C)CC(C)CC(=O)CC(C)C,24.5745678,-6506.246948
CC(C)C(C)CCCCC,23.21770507,-5192.123653
CC(C)CC(C)CCCC,23.11438697,-5038.778057
CC(C)CCC(C)CCC,23.09630032,-5059.778566
CC(C)CCCC(C)CC,22.90308961,-4984.741373
CC(C)CCCCC(C)C,22.91332718,-4983.089658
c1(O)cc(CC)ccc1,24.0678458,-6240.848194
C(c1ccccc1)CO,24.04506589,-6286.658802
CC(C)CC(O)CC(C)C,25.69169982,-6481.462788
C(c1ccccc1)(O)CC,24.54995624,-6419.194337
C(c1ccccc1)C(O)C,24.65527915,-6491.014775
C(O)C(c1ccccc1)C,25.45285751,-7021.703092
C(O)CC(c1ccccc1),24.23247641,-6581.244155
c1ccccc1[C@](C)([H])(O),23.49556872,-5774.052474
C(c1cc(C)ccc1)O,25.48466871,-6926.742967
C/C=C(C)/CC,22.54580959,-3845.897867
C=CCCC(C)C,22.61239571,-4028.937771
C1CCCCC1(C),22.33746542,-4102.444179
C1CCCCC1(CC),22.57484975,-4528.230335
C1CCCCC1(C)(C),21.80634369,-4062.379601
C1[C@@](C)([H])([C@]([H])(C)(CCC1)),21.96172356,-4243.536639
C1[C@](C)([H])([C@]([H])(C)(CCC1)),22.08860888,-4238.773131
C1[C@@](C)([H])(C[C@]([H])(C)(CC1)),22.0560585,-4187.065952
C1[C@](C)([H])(C[C@]([H])(C)(CC1)),22.17723946,-4293.113921
C1[C@@](C)([H])(CC[C@]([H])(C)(C1)),22.13798461,-4273.409822
C1[C@](C)([H])(CC[C@]([H])(C)(C1)),21.90345894,-4098.046145
C1[C@](C)([H])(C[C@]([H])(C)(C[C@]1([H])(C))),22.19253749,-4429.956908
C1CCCCC1CCC,22.76239546,-4888.751796
C1CCCCC1C(C)C,22.60245194,-4796.097124
C1(C)C(C)C(C)C(C)CC1,23.09001922,-5267.904937
C1CCCCC1CCCC,22.91719404,-5236.719167
C1C[C@]2(CCCC[C@]2(CC1)([H]))([H]),22.35237869,-5135.318049
C1C[C@@]2(CCCC[C@]2(CC1)([H]))([H]),22.30799993,-5001.809624
C1CCCCC1C2CCCCC2,22.69945327,-5753.069533
C1CCCCC1(CC)(CC),23.25903361,-5364.359407
C1CCCCC1(CCCCCCCCCC),24.26258288,-7329.978484
C1CCCCCC1,21.96564791,-4105.135458
