smiles,lnA,EaR,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,EaR_unnormed,,,,mean,0.001687455,,,,,,
COc1ccc(OC)cc1,-3.493169359,1.181538901,-0.825380956,0.002256063,train,-1.049822124,-4.448501292,1.505243686,,,,,,,,,,,
COc1ccc(OC)cc1,-3.493169359,1.181538901,-0.497157636,0.002531325,train,-0.631675858,-4.448501292,1.505243686,,,,,,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,2.783119149,1.243093765,0.003001651,train,1.585350117,-9.638467507,3.54560694,,,,,,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,2.783119149,2.311147058,0.003411223,train,2.946016681,-9.638467507,3.54560694,,,,,,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,2.783119149,1.765493171,0.003215951,train,2.250870657,-9.638467507,3.54560694,,,,,,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,2.783119149,3.147501614,0.003660992,train,4.011506284,-9.638467507,3.54560694,,,,,,,,,,,
CCCCCCCCC1CCCC2C(C)CCC(C)C12,-7.567025993,2.783119149,0.611844346,0.002687811,train,0.781158058,-9.638467507,3.54560694,,,,,,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,2.783119149,0.742641382,0.002687811,train,0.947789399,-11.61249086,3.54560694,,,,,,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,2.783119149,2.704742219,0.003411223,train,3.447444633,-11.61249086,3.54560694,,,,,,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,2.783119149,2.053769335,0.003215951,train,2.618125494,-11.61249086,3.54560694,,,,,,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,2.783119149,1.44378596,0.003001651,train,1.841025711,-11.61249086,3.54560694,,,,,,,,,,,
CCCCCCCCc1cccc2c(C)ccc(C)c12,-9.11653283,2.783119149,3.721836876,0.003660992,train,4.743191484,-11.61249086,3.54560694,,,,,,,,,,,
CC(C)CBr,-3.142374197,0.817854917,-0.829879241,0.002830215,train,-1.055552799,-4.001599204,1.041921641,,,,,,,,,,,
CC(C)CBr,-3.142374197,0.817854917,-0.52986542,0.003189894,train,-0.673344553,-4.001599204,1.041921641,,,,,,,,,,,
CC(C)CBr,-3.142374197,0.817854917,-0.593978474,0.003110033,train,-0.755022584,-4.001599204,1.041921641,,,,,,,,,,,
CC(C)CBr,-3.142374197,0.817854917,-0.712755181,0.002964544,train,-0.906340401,-4.001599204,1.041921641,,,,,,,,,,,
CC(C)CBr,-3.142374197,0.817854917,-0.888397281,0.002769469,train,-1.130102956,-4.001599204,1.041921641,,,,,,,,,,,
CCCBr,-2.949911191,0.711838798,-0.796105683,0.003025536,train,-1.01252634,-3.756407341,0.906860414,,,,,,,,,,,
